from https://youtu.be/5b4TXHR85BA?t=7243 to https://youtu.be/5b4TXHR85BA?t=10843,,
start_time,end_time,reason
https://youtu.be/5b4TXHR85BA?t=7303,https://youtu.be/5b4TXHR85BA?t=7308,突然、配信者の声が途切れたから。
https://youtu.be/5b4TXHR85BA?t=7366,https://youtu.be/5b4TXHR85BA?t=7387,映像が何度か止まったから。(配信者の声は聞こえる状態)
https://youtu.be/5b4TXHR85BA?t=7606,https://youtu.be/5b4TXHR85BA?t=7614,何度か動画が止まったから。
https://youtu.be/5b4TXHR85BA?t=7616,https://youtu.be/5b4TXHR85BA?t=7627,配信者の声の奥で、散弾銃を打ち鳴らしてしている音が聞こえるから。
https://youtu.be/5b4TXHR85BA?t=7578,https://youtu.be/5b4TXHR85BA?t=7751,剣にゾナウギアのソリ？をスクラビルドしたものが何故かずっと足元についてくるから。ティアキン経験者だが、どのやって移動しているのかわからない。これ以降にもたびたび出てくるが、多すぎて記述していない。
https://youtu.be/5b4TXHR85BA?t=7851,https://youtu.be/5b4TXHR85BA?t=7889,こんな移動法ありえない。連続して攻撃技を放っても、上方向にはいかないと思う。
https://youtu.be/5b4TXHR85BA?t=7882,https://youtu.be/5b4TXHR85BA?t=7890,ゾナウギアのロケットを矢にスクラビルドしたら3倍になっていたから。
https://youtu.be/5b4TXHR85BA?t=7892,https://youtu.be/5b4TXHR85BA?t=7915,本来あるはずのストーリーがまだ進行していないのに、カックーダを倒すことでストーリーが勝手に進み、位置が変わっている。(空中⇒チューリがいるところ)
https://youtu.be/5b4TXHR85BA?t=8008,https://youtu.be/5b4TXHR85BA?t=8020,映像が止まったから。
https://youtu.be/5b4TXHR85BA?t=8072,https://youtu.be/5b4TXHR85BA?t=8137,移動法がおかしい。
https://youtu.be/5b4TXHR85BA?t=8266,https://youtu.be/5b4TXHR85BA?t=8276,謎を解いてないのに、鍵を開けることが出来てしまっている。
https://youtu.be/5b4TXHR85BA?t=8311,https://youtu.be/5b4TXHR85BA?t=8374,床を通り抜けたり、壁の中を走っているから。壁や床が透過されている。
https://youtu.be/5b4TXHR85BA?t=8447,https://youtu.be/5b4TXHR85BA?t=8455,ロケットを打ち込むことで、3回攻撃が入ったことになっている。
https://youtu.be/5b4TXHR85BA?t=8945,https://youtu.be/5b4TXHR85BA?t=8992,ソリがストーリーにも映りこんでいる。
https://youtu.be/5b4TXHR85BA?t=9085,https://youtu.be/5b4TXHR85BA?t=9087,ルージュの雷のエリア内でとても近距離に矢を放ったのに、自分にダメージが及んでいない。
https://youtu.be/5b4TXHR85BA?t=9445,https://youtu.be/5b4TXHR85BA?t=9448,またもや床をすり抜けた。
https://youtu.be/5b4TXHR85BA?t=9736,https://youtu.be/5b4TXHR85BA?t=9754,またまたすり抜け。
https://youtu.be/5b4TXHR85BA?t=9800,https://youtu.be/5b4TXHR85BA?t=9820,それぞ解除した鍵が何故か一気に解除されたことになっている。
